id;municipio;id_depto
'0101;Leticia;1
'0102;El Encanto;1
'0103;La Chorrera;1
'0104;La Pedrera;1
'0105;La Victoria;1
'0106;Miriti - Parana;1
'0107;Puerto Alegria;1
'0108;Puerto Arica;1
'0109;Puerto Nariño;1
'0110;Puerto Santander;1
'0111;Tarapaca;1
'0201;Medellin;2
'0202;Abejorral;2
'0203;Abriaqui;2
'0204;Alejandria;2
'0205;Amaga;2
'0206;Amalfi;2
'0207;Andes;2
'0208;Angelopolis;2
'0209;Angostura;2
'0210;Anori;2
'0211;Santa Fe De Antioquia;2
'0212;Anza;2
'0213;Apartado;2
'0214;Arboletes;2
'0215;Argelia;2
'0216;Armenia;2
'0217;Barbosa;2
'0218;Belmira;2
'0219;Bello;2
'0220;Betania;2
'0221;Betulia;2
'0222;Ciudad Bolivar;2
'0223;Briceño;2
'0224;Buritica;2
'0225;Caceres;2
'0226;Caicedo;2
'0227;Caldas;2
'0228;Campamento;2
'0229;Cañasgordas;2
'0230;Caracoli;2
'0231;Caramanta;2
'0232;Carepa;2
'0233;El Carmen De Viboral;2
'0234;Carolina;2
'0235;Caucasia;2
'0236;Chigorodo;2
'0237;Cisneros;2
'0238;Cocorna;2
'0239;Concepcion;2
'0240;Concordia;2
'0241;Copacabana;2
'0242;Dabeiba;2
'0243;Donmatias;2
'0244;Ebejico;2
'0245;El Bagre;2
'0246;Entrerrios;2
'0247;Envigado;2
'0248;Fredonia;2
'0249;Frontino;2
'0250;Giraldo;2
'0251;Girardota;2
'0252;Gomez Plata;2
'0253;Granada;2
'0254;Guadalupe;2
'0255;Guarne;2
'0256;Guatape;2
'0257;Heliconia;2
'0258;Hispania;2
'0259;Itagüi;2
'0260;Ituango;2
'0261;Jardin;2
'0262;Jerico;2
'0263;La Ceja;2
'0264;La Estrella;2
'0265;La Pintada;2
'0266;La Union;2
'0267;Liborina;2
'0268;Maceo;2
'0269;Marinilla;2
'0270;Montebello;2
'0271;Murindo;2
'0272;Mutata;2
'0273;Nariño;2
'0274;Necocli;2
'0275;Nechi;2
'0276;Olaya;2
'0277;Peñol;2
'0278;Peque;2
'0279;Pueblorrico;2
'0280;Puerto Berrio;2
'0281;Puerto Nare;2
'0282;Puerto Triunfo;2
'0283;Remedios;2
'0284;Retiro;2
'0285;Rionegro;2
'0286;Sabanalarga;2
'0287;Sabaneta;2
'0288;Salgar;2
'0289;San Andres De Cuerquia;2
'0290;San Carlos;2
'0291;San Francisco;2
'0292;San Jeronimo;2
'0293;San Jose De La Montaña;2
'0294;San Juan De Uraba;2
'0295;San Luis;2
'0296;San Pedro De Los Milagros;2
'0297;San Pedro De Uraba;2
'0298;San Rafael;2
'0299;San Roque;2
'02100;San Vicente Ferrer;2
'02101;Santa Barbara;2
'02102;Santa Rosa De Osos;2
'02103;Santo Domingo;2
'02104;El Santuario;2
'02105;Segovia;2
'02106;Sonson;2
'02107;Sopetran;2
'02108;Tamesis;2
'02109;Taraza;2
'02110;Tarso;2
'02111;Titiribi;2
'02112;Toledo;2
'02113;Turbo;2
'02114;Uramita;2
'02115;Urrao;2
'02116;Valdivia;2
'02117;Valparaiso;2
'02118;Vegachi;2
'02119;Venecia;2
'02120;Vigia Del Fuerte;2
'02121;Yali;2
'02122;Yarumal;2
'02123;Yolombo;2
'02124;Yondo;2
'02125;Zaragoza;2
'0301;Arauca;3
'0302;Arauquita;3
'0303;Cravo Norte;3
'0304;Fortul;3
'0305;Puerto Rondon;3
'0306;Saravena;3
'0307;Tame;3
'0401;Barranquilla;4
'0402;Baranoa;4
'0403;Campo De La Cruz;4
'0404;Candelaria;4
'0405;Galapa;4
'0406;Juan De Acosta;4
'0407;Luruaco;4
'0408;Malambo;4
'0409;Manati;4
'0410;Palmar De Varela;4
'0411;Piojo;4
'0412;Polonuevo;4
'0413;Ponedera;4
'0414;Puerto Colombia;4
'0415;Repelon;4
'0416;Sabanagrande;4
'0417;Sabanalarga;4
'0418;Santa Lucia;4
'0419;Santo Tomas;4
'0420;Soledad;4
'0421;Suan;4
'0422;Tubara;4
'0423;Usiacuri;4
'0501;Cartagena De Indias;5
'0502;Achi;5
'0503;Altos Del Rosario;5
'0504;Arenal;5
'0505;Arjona;5
'0506;Arroyohondo;5
'0507;Barranco De Loba;5
'0508;Calamar;5
'0509;Cantagallo;5
'0510;Cicuco;5
'0511;Cordoba;5
'0512;Clemencia;5
'0513;El Carmen De Bolivar;5
'0514;El Guamo;5
'0515;El Peñon;5
'0516;Hatillo De Loba;5
'0517;Magangue;5
'0518;Mahates;5
'0519;Margarita;5
'0520;Maria La Baja;5
'0521;Montecristo;5
'0522;Santa Cruz De Mompox;5
'0523;Morales;5
'0524;Norosi;5
'0525;Pinillos;5
'0526;Regidor;5
'0527;Rio Viejo;5
'0528;San Cristobal;5
'0529;San Estanislao;5
'0530;San Fernando;5
'0531;San Jacinto;5
'0532;San Jacinto Del Cauca;5
'0533;San Juan Nepomuceno;5
'0534;San Martin De Loba;5
'0535;San Pablo;5
'0536;Santa Catalina;5
'0537;Santa Rosa;5
'0538;Santa Rosa Del Sur;5
'0539;Simiti;5
'0540;Soplaviento;5
'0541;Talaigua Nuevo;5
'0542;Tiquisio;5
'0543;Turbaco;5
'0544;Turbana;5
'0545;Villanueva;5
'0546;Zambrano;5
'0601;Tunja;6
'0602;Almeida;6
'0603;Aquitania;6
'0604;Arcabuco;6
'0605;Belen;6
'0606;Berbeo;6
'0607;Beteitiva;6
'0608;Boavita;6
'0609;Boyaca;6
'0610;Briceño;6
'0611;Buenavista;6
'0612;Busbanza;6
'0613;Caldas;6
'0614;Campohermoso;6
'0615;Cerinza;6
'0616;Chinavita;6
'0617;Chiquinquira;6
'0618;Chiscas;6
'0619;Chita;6
'0620;Chitaraque;6
'0621;Chivata;6
'0622;Cienega;6
'0623;Combita;6
'0624;Coper;6
'0625;Corrales;6
'0626;Covarachia;6
'0627;Cubara;6
'0628;Cucaita;6
'0629;Cuitiva;6
'0630;Chiquiza;6
'0631;Chivor;6
'0632;Duitama;6
'0633;El Cocuy;6
'0634;El Espino;6
'0635;Firavitoba;6
'0636;Floresta;6
'0637;Gachantiva;6
'0638;Gameza;6
'0639;Garagoa;6
'0640;Guacamayas;6
