;id;cliente;direccion;telefono;ciudad;departamento;ciudad_id;departamento_id;email;sector;sector_id;contacto;tel_contacto;asesor;maneja_sucursales;estado;fecha_creacion
1;11348883;BELLO FORERO NESTOR HUGO;CR 16 12 17;3112219250;Zipaquira;Cundinamarca;14116;14;dizelectricos@hotmail.com;;NULL;NESTOR FORERO;3102429664;JUAN VICENTE PAEZ OSPINA;NO;ACTIVO;20/05/2026 14:36
2;13702636;HIRVIN LEONDEILAN ARDILA PEREZ;DG 17 B 89 50 TO 7 AP 103;6013549977;Bogota D.C.;Bogotá, D.C.;3301;33;hirvinleon@yahoo.com;Constructora;6;HIRVIN LEONDEILAN ARDILA PEREZ;3222400857;JUAN VICENTE PAEZ OSPINA;NO;ACTIVO;23/05/2026 9:25
3;79340110;GUILLERMO GAMBA;;;NULL;NULL;NULL;NULL;;NULL;NULL;GUILLERMO GAMBA;3223101713;JUAN VICENTE PAEZ OSPINA;NO;ACTIVO;21/05/2026 14:25
4;79787115;AREVALO CHAVEZ COUNTRY CLUB CANINO Y/O CIRO ALEJANDRO;CL 127 C 1 40 CA 20 BRR UNICERROS LOCALIDAD DE USAQUEN;3024958085;Bogota D.C.;Bogota, D.C.;3301;33;fodoli@gmail.com;;NULL;CIRO ALEJANDRO AREVALO;3024958085;JUAN VICENTE PAEZ OSPINA;NO;ACTIVO;20/05/2026 14:36
5;800002030;COLSEIN SAS;PAR INDUSTRIAL GRAN SABANA ED 32;3173312424;Bogota D.C.;Bogota, D.C.;3301;33;feproveedor@colsein.com.co;;NULL;ANDRES CRUZ;3173312424;JUAN VICENTE PAEZ OSPINA;NO;ACTIVO;20/05/2026 14:36
6;800011797;INDUSTRIAS MENBEL SAS;CR 67 4 B 45 BRR LA PRADERA;6014069090;Bogota D.C.;Bogota, D.C.;3301;33;contabilidad@menbelltda.com;;NULL;ISABEL DIAZ;3507527114;JUAN VICENTE PAEZ OSPINA;NO;ACTIVO;20/05/2026 14:36
7;800215694;VESGA MORENO INGENIEROS SAS BIC;CL 31 A 26 15 OF 602 CC F L;6076392241;Floridablanca;Santander;2733;27;facturacionelectronica@vesgamoreno.com.co;;NULL;EDER DURAN;3142958725;JUAN VICENTE PAEZ OSPINA;NO;ACTIVO;20/05/2026 14:36
8;800217972;SERVICIOS EN TELECOMUNICACIONES TELEMATICA, SISTEMAS Y CONTROL DE CORROSION S.A.S.;CL 124 7 C 09;6016201170;Bogota D.C.;Bogota, D.C.;3301;33;info@telmacom.com;;NULL;CAMILO CUBIDES;3004698092;JUAN VICENTE PAEZ OSPINA;NO;ACTIVO;20/05/2026 14:36
9;800241849;C D I S.A EN REORGANIZACION EMPRESARIAL;CR 56 B 7 A 45 BRR BELLAVISTA;6056517077;Cartagena;Bolívar;501;5;gerenciaadministrativa@cdisa.co;;NULL;RAFAEL ALVAREZ;3106901823;JUAN VICENTE PAEZ OSPINA;NO;ACTIVO;20/05/2026 14:36
10;800250348;TAILCO SOCIEDAD POR ACCIONES SIMPLIFICADA S.A.S;CR 13 140 30 BRR CEDRITOS;3124327716;Bogota D.C.;Bogota, D.C.;3301;33;ventas@tailco.co;;NULL;LEONOR BUITRAGO;3124327716;JUAN VICENTE PAEZ OSPINA;NO;ACTIVO;20/05/2026 14:36
11;800251165;CIA FERRETERA DE ANJEOS Y MALLAS LTDA;CL 17 25 21;3602267;Bogota D.C.;Bogota, D.C.;3301;33;facturaelectronica@anjeosymallas.com.co;;NULL;YANET ROMERO;3123653081;JUAN VICENTE PAEZ OSPINA;NO;ACTIVO;20/05/2026 14:36
12;813011746;L2M INGENIERIA INTEGRAL LTDA;CR 4 BIS 21 07;3153472208;Pereira;Risaralda;2501;25;l2mingenieria@hotmail.com;;NULL;JUAN ESTEBAN ZEA ZULUAGA;3128712644;JUAN VICENTE PAEZ OSPINA;NO;ACTIVO;20/05/2026 14:36
13;820001830;LEAL INGENIEROS SAS;CL 100 60 04 OF 601;6016139456;Bogota D.C.;Bogota, D.C.;3301;33;lealingenieros@yahoo.com;;NULL;JOSE ANTONIO LEAL;3106801769;JUAN VICENTE PAEZ OSPINA;NO;ACTIVO;20/05/2026 14:36
14;826003228;PSI LTDA;CR 10A 23 12;6087709771;Sogamoso;Boyacá;698;6;gerencia@psilimitada.com;;NULL;DOÑA ANDREA;3124503786;JUAN VICENTE PAEZ OSPINA;NO;ACTIVO;20/05/2026 14:36
