"id";"sector";"subcategoria"
30;"AGROINDUSTRIAL";"Agroexportadoras"
31;"AGROINDUSTRIAL";"Cultivos"
29;"AGROINDUSTRIAL";"Fincas"
32;"AGROINDUSTRIAL";"Ganadería tecnificada"
25;"COMERCIAL";"Centros comerciales"
28;"COMERCIAL";"Retail"
26;"COMERCIAL";"Supermercados"
27;"COMERCIAL";"Tiendas grandes superficies"
45;"CONSTRUCCION";"Consorcio"
6;"CONSTRUCCION";"Constructora"
7;"CONSTRUCCION";"Inmobiliarias"
10;"CONSTRUCCION";"Interventorías"
9;"CONSTRUCCION";"Obras civiles"
8;"CONSTRUCCION";"Urbanizaciones"
1;"EDUCACION";"Colegios privados"
2;"EDUCACION";"Colegios públicos"
4;"EDUCACION";"Institutos técnicos"
5;"EDUCACION";"Jardines infantiles"
3;"EDUCACION";"Universidades"
20;"GOBIERNO";"Alcaldías"
23;"GOBIERNO";"Entidades públicas"
22;"GOBIERNO";"Fuerza pública"
21;"GOBIERNO";"Gobernaciones"
24;"GOBIERNO";"Infraestructura pública"
16;"INDUSTRIAL";"Bodegas"
19;"INDUSTRIAL";"Centros de distribución"
17;"INDUSTRIAL";"Fábricas"
18;"INDUSTRIAL";"Logística"
15;"INDUSTRIAL";"Parques industriales"
47;"OTROS";"Clientes del Exterior"
43;"OTROS";"Fundaciones"
41;"OTROS";"Iglesias"
42;"OTROS";"ONG"
44;"OTROS";"Proyectos especiales"
14;"RESIDENCIAL";"Administración de PH"
11;"RESIDENCIAL";"Conjuntos residenciales"
13;"RESIDENCIAL";"Edificios"
46;"RESIDENCIAL";"Persona Natural"
12;"RESIDENCIAL";"Propiedad horizontal"
33;"SALUD";"Clínicas"
34;"SALUD";"Hospitales"
35;"SALUD";"IPS"
36;"SALUD";"Laboratorios"
38;"TRANSPORTE Y LOGISTICA";"Aeropuertos"
39;"TRANSPORTE Y LOGISTICA";"Empresas de transporte"
40;"TRANSPORTE Y LOGISTICA";"Logística urbana"
37;"TRANSPORTE Y LOGISTICA";"Terminales"
